YEARS,SEAP,EEWA,AJNZ,AFRC,MDEA,LAMC,NAMC,EAAS,SOAS,EURO,WORLD,TAS
2006,298.7485957475875,273.7590394422553,294.5613588998737,297.60894187904324,295.409481033307,295.13685008714657,273.9027021264883,279.8361958041033,295.88884289053277,282.99538275242026,287.17920112486036,287.6128761460664
2007,298.85201172793955,272.38244863308506,294.26219088080353,297.82646484980927,295.46006875394255,295.5044327689824,274.4894484284479,279.85980701147224,295.1441351537117,282.84474192211167,287.10719446445654,287.6578110896711
2008,298.77869198264216,272.65208315254904,294.710840379494,297.7616583244739,295.7457412007525,295.4464502081871,274.03411818924536,279.98797432079266,295.3137013045914,282.3964302299041,287.0894075623014,287.588966518157
2009,298.81468888752573,272.4244906006303,294.55983853789076,297.77183196903405,295.4275818993153,295.47563119325844,274.2964086416502,280.57518594963494,295.3889557318135,282.88654915426366,287.153484503056,287.67213692784213
2010,299.05363633629577,272.64235865874076,294.51796942391377,297.9111290313903,295.780105509407,295.75761894955286,274.53636138565304,279.56399131714915,295.4095579705626,282.6657721569442,287.2277499231997,287.8082387157185
2011,299.1551402171725,273.38569506056484,295.15272672003675,298.1999582881561,296.00801288332514,295.611292694548,274.3513280958193,280.0670434125601,296.20297287705574,283.1596121894369,287.507181155096,287.9211582725314
2012,299.23781749922205,272.7520230204392,294.74015697861387,298.2780075286807,296.39014761576766,295.85225353259955,274.2879814639939,280.5734880277649,296.34982374522633,281.8274751354548,287.4299300454931,287.9219102057022
2013,299.49672389624374,272.48585887854534,294.6436672216296,298.68980942148403,296.49972636240415,296.2760541582598,274.80775033329377,280.53009895988976,296.55364657669617,281.6840362073161,287.63122452051545,288.14035937514063
2014,299.75833665246034,273.14427562624394,295.3932313439529,299.02435941436045,297.19141591317947,296.52259854492223,275.1819220271179,280.75533057426406,296.5298935512549,281.91293508133504,288.02101972603583,288.229701773799
2015,299.48049873536513,272.56473007632195,294.7596230629681,298.86807260925167,296.44267687202483,296.1598791194375,274.4478372293506,280.44755138412535,296.6669776304494,282.4523050065877,287.6446003718921,288.12046075100915
2016,299.46063692215785,273.1426532419005,295.19921391491886,298.50921896185747,295.82239299478334,295.99555173479445,275.29840017724996,280.36793993706897,296.0068960156868,283.0147579277289,287.7637652752788,288.1580069175026
