YEARS,SEAP,EEWA,AJNZ,AFRC,MDEA,LAMC,NAMC,EAAS,SOAS,EURO,WORLD,TAS
2006,298.7536865347268,272.23091258314145,294.34450825626254,297.61580044838524,296.0116923603756,295.36037530109724,273.8579497931051,279.5693348672085,295.7697785219755,281.9099451888553,286.8946554687822,287.5604043223387
2007,298.854143425892,272.597020648554,294.3604499333534,297.5809489455331,295.2814899905412,295.25264448682435,273.7918824147513,279.392211423243,295.13860698019664,282.89096358994044,286.9005479264312,287.5837056666119
2008,298.8408062784545,272.90404781901697,294.5466729257667,297.9584163298555,295.8268067531383,295.6804373066363,273.7945563076027,279.8796316896369,295.64010775719123,282.4336519341284,287.17234946299675,287.7772445550315
2009,298.93853836600846,272.1099779632216,294.29934151930956,298.23973675803063,295.97931900516573,295.92198047494725,274.29590434604944,280.04338052706737,295.8019120877662,282.1489600239085,287.22355206908645,287.86910585740253
2010,299.1635995152383,272.35147705424987,294.9498440017713,298.55480042784575,295.60618305258146,296.0733661816972,274.9632795956149,280.22832602774594,295.8025621487813,282.7667831281996,287.53892863306197,287.93065499027364
2011,299.1210066943319,272.37400617380405,294.72742302619724,297.9263038912534,295.99773476264744,295.5598569757695,274.35494315443003,280.20948372518177,295.87122599156527,283.18478512133754,287.24633374452316,287.7889545393619
2012,299.1172773879537,272.3671577307147,294.52175377143084,298.16187748034173,296.2844793130062,295.72765426727074,273.9296544856597,281.12910826762817,296.0105162137128,283.04983811100516,287.33044578447823,287.77004491613127
2013,299.2897759767342,272.1037064723845,294.6388992137037,298.316019704484,296.02898582080604,295.9113413482657,274.08886746929284,280.3429871629023,296.04398899357346,282.608065647545,287.29546208877935,287.7702389862809
2014,298.99885918734884,272.5161207882447,294.42546184699387,297.97043639655976,295.74154810887353,295.55418938403994,273.65494704514964,280.54812126501486,296.50540028857904,282.8633165055912,287.1725958211447,287.62309198202536
2015,298.9828228167835,273.95957804033645,294.83931775284725,298.3420542789389,295.95231046682477,295.75743480231586,274.0806768850912,279.8667054479052,295.5690268128111,282.7458433829441,287.5252817518475,287.91402760649885
2016,299.29704575960136,273.59983820945587,294.93415647982715,298.3655601064615,296.0801848441447,296.1585287388802,274.9690192962247,279.68413143945287,295.1771546398958,283.54571236462374,287.70121624719206,288.1351719412595
2017,299.49432628119627,273.2901849736234,294.9448004247519,298.8572095463647,296.26677894059577,296.316475679174,275.33999172416276,279.9746343336413,296.04493387977965,282.6948406142825,287.8783846201387,288.1870153424998
2018,299.29526946408953,272.6438887768927,295.3402149738534,298.3801493996053,295.93158910212577,296.10629202094054,274.8369809420296,279.89364510596994,295.8199211442548,282.42639770668524,287.53211956819825,287.99928693179316
2019,299.3013138238552,273.45828330798906,294.6655129684391,298.5918916354371,296.4766625480364,296.06062784282824,274.859522404958,280.27585336156886,296.23805112316705,283.1969098897187,287.7692131980489,288.13416876166815
2020,299.4885206816166,271.98951768470863,295.35503166204705,298.8634399527745,296.5633176497454,296.114420367713,274.18186086277785,280.61599121979884,296.5295694110797,282.0274059470188,287.53318544803693,288.0479316612207
2021,299.17289167201915,273.3837769505155,295.1167913256648,298.38115571024196,296.0462520715147,295.66278771235943,274.06979734377103,281.1081005979629,296.34458672384073,283.30214480047096,287.6090385422476,287.99392160442363
2022,299.2958759429159,272.82201358603453,294.75844334460385,298.3893913251855,295.6739030883639,296.13667067127085,274.9376703507189,280.2020215803091,295.8600024832961,282.64324943261266,287.5743799098385,288.0585814290505
2023,299.48282776858935,273.1309947342526,295.749783905271,298.8811741200032,296.9957944855397,296.21506144311184,274.5472811429258,280.86778054742604,296.7789370023646,283.1003112212197,287.91448224510407,288.16460978131073
2024,299.1271202348285,273.565714426503,295.15745941984585,298.53698891345766,296.6256563150511,295.86901698977704,274.6718224816833,280.40967627222284,296.2260949301771,282.7070884453705,287.73466694280023,288.0890217342349
2025,299.3193939468458,274.42728001504867,295.215707095484,298.7062414869765,296.81770567436655,296.0326792141399,274.47981614338534,280.72763025075864,296.224484584868,283.56227326747177,287.98946216850635,288.2390957462308
2026,299.6085674791027,272.94347037517537,295.4591292428678,298.88267341944163,296.83624353838707,296.55057329534077,275.0740243825529,280.8637774855363,296.3556668739001,282.8795811047499,287.9734096634511,288.31106090873635
2027,299.66462686717637,272.7455195519056,295.4884140861151,298.8426833582189,296.3741005591312,296.4827267963149,275.4659285635254,280.4793067165393,296.50317416479925,283.2779596165016,287.9608151885757,288.2831112729887
2028,299.56917566248654,273.31316940055456,295.21727381824155,298.69353235471715,296.53789326037395,296.21169386253547,275.15205126158287,281.39621728329126,296.4207461700326,284.2442277379685,288.0303952721076,288.30395852742674
2029,299.61543668663813,273.8314712010315,295.4207132618425,298.6526051991268,296.9528295866067,296.15878071077384,274.8080948326601,281.21189426502383,296.71466025585346,283.94913946741764,288.05630038040493,288.3453065169947
2030,299.7443034957351,273.38497723808837,295.5132847062794,298.9396802294803,296.849926116514,296.5005680051654,275.1286131434383,280.5712610926148,296.3353538858516,283.6505879959283,288.0765134705066,288.4323527073706
