YEARS,SEAP,EEWA,AJNZ,AFRC,MDEA,LAMC,NAMC,EAAS,SOAS,EURO,WORLD,TAS
2006,298.685293310413,272.23775158663705,294.30410950748626,297.8851066900713,295.80046450144573,295.1875886991209,273.9309112874423,279.9564921504167,295.19912398415875,282.7483812019218,286.975452675415,287.55371019799503
2007,298.46278065082623,272.7619552724317,294.4438713594912,297.72829861226626,295.50059930671,294.94273953037634,273.81979093270957,279.49189742596644,295.122255140855,282.71891791762835,286.9167152704376,287.52698228430063
2008,298.94714405751523,272.16843249747535,294.4593736710672,297.91270585107225,295.778686061599,295.4620443431316,274.03024521134154,279.33392747812,295.31895379847373,282.02369798556293,286.96741163774726,287.599598109087
2009,298.96873511180956,272.6535242852945,294.64780861245515,298.0086485655803,295.59878244362733,295.9454202598419,274.50836817343907,279.40828154074364,295.2523358776937,283.1928981740775,287.27768809652554,287.7091764673599
2010,298.8503534806039,272.0607290450074,294.4767340304221,298.0737633730234,296.09324827576376,295.43545098851934,274.3331728676543,280.05401242592,295.8029173703743,282.5852433593091,287.1421367106747,287.6667468694747
2011,298.67636158793425,272.5590504734644,295.05492386630453,297.97369664567844,295.8337373275859,295.59072615425885,274.1708576568116,280.1127388321879,295.84391783847826,282.49580733842924,287.2209884385423,287.70449374309584
2012,299.122546009767,272.0369714355418,295.08070327671754,298.0553941730481,295.77686600438216,295.5575095958735,274.4046683808702,279.7992782500642,295.4659615976392,282.0292562788528,287.14141434488795,287.67075065974785
2013,298.99346117833596,272.50441576474844,294.7133114433201,298.3108277308467,296.10699078475983,295.63597343607876,274.0279167611242,280.3699074255199,295.6452285119786,283.00452701590694,287.3090728458057,287.7719754493253
2014,299.1587967205513,272.40136398255237,295.39232935185214,298.3846166182212,296.1270054486319,295.945586193832,274.85954151040346,280.71521688906984,295.77418163113583,282.69400322967164,287.5568710096339,287.87043518403885
2015,299.5730180643316,273.27875905151444,295.6080617872334,298.6117438307711,296.43667026507575,296.3009245947826,275.4866922193137,280.0714142520875,295.82662552653267,283.1516744169225,287.9130234491471,288.09051393573515
2016,299.61829917051904,272.6325000605121,295.18757403994306,298.66871634544526,295.8990844239652,296.6167493774046,275.5901525749749,280.1679391600418,295.98829593503103,283.09152024719356,287.85141856143264,288.1461060101807
2017,299.30701269722715,272.8384814017391,295.64319095474957,298.4204261571518,296.0852521951738,295.9383894554502,274.9137837110319,280.2379992589482,296.3097750682883,282.81124535540823,287.6484742250195,287.90435133905027
2018,298.6922189367544,272.01853643081097,294.80097365632605,297.94319178911417,296.2072506772422,295.12759294714124,274.2348936465198,280.4943846616809,295.91785396594605,282.85681591542493,287.1151133809038,287.5616839445378
2019,298.709518580752,273.0432603088479,294.7060433736727,297.8176471282044,295.93705015447347,295.09328901028346,274.01385988440063,280.81359378523166,295.7168869356637,282.89180500329445,287.21867887838044,287.66721513909783
2020,298.8085266134614,272.6050532294384,294.72372154554114,297.930040674206,295.8457529791303,295.5531280808387,273.9266101765712,280.22638617425343,295.21340843380773,283.25044458354995,287.1778850388348,287.6773783168328
2021,298.8364104313299,273.067723078344,294.6908038052373,298.0089346590069,296.5073437899646,295.56584707312595,274.5430534911725,280.2848008034511,295.71866501736406,282.9036152938054,287.4035131532191,287.8223274109765
2022,299.1440898969524,272.7280074388716,294.92632046006156,298.6955163590324,296.04875623966524,296.28098859514773,275.0989950566752,281.1069342618347,295.6244965135321,282.9036803460143,287.77236976026074,288.05618034318195
2023,299.67328048251824,273.25057973950555,295.56955058693717,298.776796536129,296.2853473410677,296.8020510767027,275.39487845408075,280.7667822817109,296.43612494550365,283.6328934567404,288.1047908019459,288.17219696676773
2024,298.8852925234801,273.169204816498,294.9833950358385,297.878118088919,296.18567003051567,295.3998744858245,274.8159256708407,280.94456548218244,295.5946061851675,283.1897010580645,287.4791223918039,287.8197861313931
2025,298.7087075632863,273.48625894182226,294.1644414457833,297.9576333085154,296.3381131012057,295.12283863155744,274.5479522005352,280.5424662434235,295.4108514945971,283.21954840906443,287.37305869114283,287.7235222173531
2026,298.89278935449255,273.13323947256197,294.6055164732843,298.0296730386527,296.06850905699025,295.5662268299966,274.91181973708075,280.21758038372934,295.4662055953097,283.43677844803904,287.46529258402916,287.89680941673817
2027,299.6045569010896,272.8077937319683,295.0999138859172,298.8646174466405,296.93044418481827,296.3248453103497,275.4020605597413,280.6384217025047,296.24231138416087,283.07250277148336,287.9311904762992,288.1632565001471
2028,299.8057270870525,272.95680695381765,295.1479400304337,299.19605035556845,296.719478369077,296.88771129258305,276.0480733345464,280.58510271851407,296.5645829806922,283.43147418748526,288.24339571641866,288.32526160775035
2029,300.0045258850121,273.92955452291073,295.333989362936,299.05241943620325,296.1756751596858,296.6126267035248,275.6725006283629,280.67911483036676,296.620209929252,283.77609738052683,288.291292346689,288.322067700874
2030,299.12488048988916,272.8859403628342,294.89019525936294,298.0607152457451,296.25273472497724,295.3337278219618,274.6742890265072,280.6040459189303,296.6141626804418,283.1352640950716,287.4545093389061,287.81537135929904
2031,298.8655964676062,272.81052122152556,294.4386603387214,297.9841093522191,296.136743898126,295.1505520523868,273.59975088627857,280.7132941381491,296.023751820226,283.46616937352667,287.18634930313124,287.7073506533329
2032,299.1741412054169,272.8168461952373,294.7344066312745,298.2027691887607,296.0496180432866,295.33839957924187,274.64355173318063,280.32141066602645,295.65691392523235,283.3977298171048,287.4071191003493,287.88297550355287
2033,299.3610227421802,273.2579671641251,294.6351311134069,298.2696698946312,296.37227863717726,295.6170261452427,274.63226609626776,280.8308929384134,295.86489774756853,283.3476977336657,287.59603772121085,287.9713538086669
2034,299.3267388288674,273.63921670253313,294.73195987732606,298.4478949353194,296.4934091988652,295.7798332043846,274.4854951211806,280.9410021383211,296.26099640910456,283.4985302022027,287.7397022118131,288.0044949115398
2035,299.64477799255565,272.8290704351213,294.90850324977845,299.1219221227078,296.88806219874107,296.46959595801854,275.3313376581994,280.8236935474644,296.4735687518145,282.86875261195394,288.0063168952618,288.23566538658343
2036,299.81994489169693,273.1384919796366,295.6512271609796,299.21387825954463,296.4894980773338,296.79186670377777,275.3505608373464,280.77733318813995,296.68593550247056,284.04491670420344,288.22237414406607,288.32597787139736
2037,299.4515143550056,273.0264576387347,295.3296007199556,298.87674325928435,296.7063852980347,296.30799055783683,275.21526734243446,280.6997751518836,296.23359086458106,283.92428946996597,287.9793570302577,288.2011496129625
2038,299.281985975506,274.0644521569718,294.9301989254001,298.44238697734835,296.589087786868,296.0066818594333,274.86273476470143,280.86127984715176,296.07005884657013,283.0021441218874,287.8808899267081,288.13376647116706
2039,299.2740869326843,274.0524058936964,295.0393351779939,298.7349961016698,296.8758235264769,296.10091427707823,274.72612615114656,281.21507771958596,296.7021259060894,283.9871455152869,288.0509751359275,288.22248001517966
2040,299.71234114751064,274.19936501602865,295.38810074213535,298.8251097887567,296.06919677136483,296.54285661530895,275.2870983822698,280.69806988320744,295.93697882561196,283.56015111319385,288.16767249244094,288.3606199138968
2041,299.98809670473406,274.0165033800416,295.82123500104603,299.8960728258584,296.9974143471155,297.15303886651833,276.2366865420309,281.54448939961804,297.3587935898896,283.9853662797082,288.8363404888046,288.7043558714479
2042,299.68963770540154,273.0902463576775,295.3507538725398,299.0264603429714,296.7164544835017,296.1928059650087,275.93944581031315,281.32399301096524,296.5091020670319,283.56888411539114,288.17765973019704,288.31122446826095
2043,299.09441676231353,273.40006314404866,295.23139897877246,298.3499488148151,296.61198189964466,295.71485119110764,275.58482646791117,281.1213681622357,295.77481320979405,283.15032858154444,287.85139371919456,288.0861906618289
2044,299.16714611064134,273.38904871623004,294.65998648756806,298.75674560613123,296.75553677485556,295.92204699130576,275.424467092493,281.46156284259524,296.25299286438565,283.53414839611816,287.9826508800767,288.1816114833132
2045,299.25568917044643,273.3175794761158,294.8608337964248,298.7096703947192,296.9861381523003,296.1709931451386,275.0944127982139,280.84332895714545,295.59659551753595,283.848127634787,287.908437121464,288.1672537786076
2046,299.52907821199403,273.6467780717074,295.520516472743,298.981125999121,297.2166432458783,296.29781564852567,275.4441065135629,281.0062071129479,296.264921022357,283.32830940874584,288.17351011405617,288.3320705112535
2047,299.84317040210993,273.99660062704675,295.3918189236837,299.030754569907,296.0895110703598,296.9870469617141,275.9168087468876,281.5749282311394,296.7208904103918,284.21906164459904,288.48535153769245,288.48727600344773
2048,300.2036086915786,274.3365269014627,295.38686363607087,299.7565654623676,297.5941559884487,297.1489478812837,276.11162127976394,281.5861390466643,297.49547124073575,283.56172918812837,288.8309480096949,288.63034785418745
2049,299.2341308574182,273.94720505666515,295.1041129375553,298.73749009414394,297.0588306194827,295.4720533996174,275.65078713118334,281.2699382511971,296.8495550023185,283.15938943828985,288.06817784420616,288.16285447209884
2050,299.24651249654175,274.0443370341514,294.57072840902913,298.4140312900567,296.4383778328362,295.3564052381609,274.9350160222293,280.89612663045415,295.5953263996658,283.3892394738171,287.755900835025,288.0897418130791
2051,299.27062731222617,273.76393795530896,294.6672035771502,298.79319634983364,296.47534448894174,295.827116137839,275.3231320232643,280.9184409644612,296.4172930502747,283.3654789466436,287.96831621922473,288.24109651617005
2052,299.47476182280803,273.87201042454456,295.144310987254,298.8372414885556,296.8270097828658,296.2919480371184,276.25855107002224,281.64853599135347,296.58989412261417,283.73268325784124,288.3489844267975,288.4386623624979
2053,299.718716963936,273.6355692394646,295.507358322914,299.0316721227491,296.7049564711279,296.49797096314785,275.79362979266995,281.0177287079345,296.8823699791841,283.59759486743684,288.29127454172914,288.44697669356685
2054,299.7624733160875,273.7593379501418,295.5580950603174,299.09005287774636,296.96573497176905,296.51465591892884,275.6524812837683,281.8184310988037,296.8957307925666,283.94010830276227,288.40182084670687,288.4564512802128
2055,299.76023354141904,272.84674059623967,295.6828841022366,298.91511703282424,296.84309377620303,296.55663990980463,275.7333295143202,281.8124203436468,296.5844501420095,283.6726016186408,288.2123434121923,288.4303334410522
2056,300.04745590732267,273.69417071674525,295.6469116082243,299.49980170200456,297.0565024052663,297.08266452628095,276.3471821137523,281.3302516253434,297.2101044757562,283.75797389072,288.66220194039204,288.64892017007253
2057,299.4937276027767,273.9150087643025,295.6887485437722,299.04656823620064,296.8196235432852,296.56515765554724,275.3003152996032,281.0589602171058,296.5060702955634,283.15392399338725,288.2496083393022,288.3902136649376
2058,299.3187600919524,273.0897182478295,295.1859867924972,298.55853890752985,296.69376157538795,295.7020299885668,275.2291040812291,281.1266187374465,296.6029699320871,282.96138636615717,287.8212256700029,288.09841560024483
2059,299.1325465715564,273.3442140922497,295.2494303980319,298.6232685041424,296.99905997754604,295.7260925325759,275.4452885456892,281.3087627746826,296.22346613735675,283.6637890348776,287.95543313093566,288.20605877039293
2060,299.6174665324027,273.1459013807693,295.30230750835506,298.79157552441,296.61012096262056,296.5069025276283,275.5417680245042,280.9911237259197,295.99128703813966,283.5996650249377,288.0635853019837,288.3937264863344
2061,299.8708930001336,272.99837887339504,295.8025181929032,299.11610990098217,296.82128810831466,296.75967156047113,275.80750242409675,281.54019720093856,296.66654129957385,283.414810234972,288.30454970150254,288.4891692444977
2062,299.5398894797552,273.5870404028307,295.33337988463256,298.968692780247,297.1771150772762,296.61714050405396,275.70665067699895,281.75885751281095,296.4962336817921,283.442295429217,288.3150065130637,288.3831441384732
2063,299.4853100379157,273.6105658324178,294.7812759931308,298.6486150517285,296.95037248013335,296.21418222980657,275.05005076173876,281.4160670288135,296.6565914772877,283.796020260147,288.02962059210705,288.2802706206786
2064,299.5615484412907,273.6925459420967,294.8141986811417,298.6814532648121,297.0041213158216,295.94530353863195,274.9349478813243,281.27330772216715,296.625793265426,283.7319838833036,287.98213532843755,288.2924196665731
2065,299.81316818106285,273.349983021334,295.22708748131527,299.19880506245477,297.4071305790822,296.8126061414674,275.87707348781043,281.4227570226239,296.61171715843994,283.6261937799707,288.38140092566016,288.5432157322733
2066,300.20943719880216,273.0843263714459,296.3439428074313,299.7384991970335,296.6730532155777,297.3638746134902,276.30877851429625,281.2962459115389,297.03475440314435,283.52874079836914,288.6682996322106,288.62355170142456
2067,299.4248181408148,273.7207955583149,295.2505482297054,298.58735263418964,297.01162223207365,295.97566135182814,275.60761405110566,281.46722339637137,296.49615351601835,284.4685844680432,288.1425658205662,288.24178207196627
2068,299.02291761525635,273.9494129416495,294.8375756727076,298.317347032824,296.89985649736013,295.67207162793545,275.7562193274524,281.39000630942473,296.49782519749266,284.08145190735286,288.0283302262597,288.143330926516
2069,299.3274142518088,272.9200993070953,294.9211321936227,299.02230858361145,297.0753659778199,296.24242756415356,275.07777963829,281.76056613976937,296.89204606111934,283.88441840334116,288.0585277189198,288.2329987766246
2070,299.95195379326987,273.8544339433342,295.6265660965753,299.3930252807213,296.9439835216943,296.82971090909956,275.528055228909,281.41846123512414,296.89641998583755,284.0327791109086,288.4946588511546,288.50861585092645
2071,299.8132577940948,274.03627959630956,295.62229506403645,298.97622432441085,297.2123432405181,296.6779988570647,275.761577715322,281.2296971424624,296.91086420908545,283.43982933896604,288.4086429089987,288.417154245828
2072,299.4032617373563,274.243532458325,294.81935283425787,298.8327464536721,297.104214763003,296.13999574874134,275.40361600866026,281.28821056661997,296.44362815725265,284.19728875144034,288.22259024549345,288.29755171066773
2073,299.3431555479744,274.28362524633087,294.9682165866722,298.79890759861786,296.95747400914047,296.0455336750977,275.6602533025432,281.0659022732947,296.2883196288271,284.26646654836736,288.227730419389,288.3455381182375
2074,299.717638455631,274.0804127530918,295.03427340805854,299.14148508312155,297.0439822692111,296.6238688174314,275.60326412479515,281.06867711801607,296.70521998842975,283.6835101656364,288.36234277202846,288.46432247427146
2075,299.98369024726634,273.89931856261774,296.1261487186572,299.2983806708862,296.6443964975814,297.0057609711983,276.15546127144535,281.3661235394104,296.64813844683255,283.212749104359,288.57813463254,288.60003197404615
2076,299.88271558148915,274.35728348439415,295.50698539462485,299.27673558647166,297.22150973414796,296.86680440074235,276.2851042499918,281.1942733918667,296.95978541602454,283.8862306071969,288.6539152700753,288.5869833083789
2077,299.4406220275408,274.2136638822879,295.2896869426293,298.74731256957466,297.2691673974199,296.20712215803275,274.973492694824,281.5345761195865,296.6139005131819,283.2280789392726,288.1624546625241,288.30444878000674
2078,299.25975097016976,273.8084382796555,294.76762685257694,298.7307603879624,296.96734303014847,295.80096000774887,274.82174970778215,281.56553633098594,296.38833288248304,283.4178650272358,287.9582970600168,288.1769704648506
2079,299.45361981977356,273.77989906456696,294.8314258473494,298.88071976882395,296.8734372044752,295.9361952519025,274.97911015302617,281.1219033297108,296.4763826569118,282.97308368514587,287.9871461792485,288.2058333445642
2080,299.6266453952141,274.00063373582833,295.4455509422619,299.0437158679381,296.94612556779725,296.29927255490617,275.5435926969516,281.1628079809117,296.5540555326162,283.3124557594388,288.2728754681558,288.36068225515515
2081,299.7381378022123,273.6067139548708,295.2082109825553,298.8696455348211,296.6536873090035,296.45962842581196,275.1008789576201,281.5298705712976,296.2586613091117,283.4165943230068,288.1264531199631,288.34339166422893
2082,299.84234828106355,273.3630457846223,295.9273888807707,298.9029033760548,296.5149176293782,296.6926542008131,275.78334805559007,281.58492208893495,296.58676392382625,283.5492143170519,288.30371759422314,288.4072467447864
2083,300.16652000259757,273.61048856837795,295.9025847227305,299.38828249619627,296.7251753441344,297.16495532542,275.82607808822956,281.2644641273549,297.25229087989123,282.9661094008308,288.5228452189413,288.56412589867324
2084,299.9346180674623,273.5853867836985,295.521963643161,299.10683393072827,296.82852174336057,296.7388891661343,275.3264639265689,281.0768857906598,296.32890034765506,283.95999719400896,288.2764848147381,288.4410759420946
2085,299.5370120426501,273.1632782584247,295.720962870931,298.80623387040424,296.6465865504928,296.0396759557546,275.4327348387381,281.5302464141403,296.5937548248134,283.62371805608996,288.07421594958123,288.2824379373539
2086,299.41210549336614,273.2148767611749,295.1697310397789,298.6539011678123,296.833682987157,296.21887880127736,275.2211280350672,281.6474354579223,296.59618031664706,283.5973365459513,288.01944049931694,288.22018297122145
2087,299.7197518932571,273.0555984462436,295.77277169697896,299.004235538394,296.72518822208133,296.9003637373583,275.36853082659076,281.46013842445564,296.52458780621816,283.79999261518435,288.23453907465597,288.40833616011594
2088,300.05045478358556,273.21311314315284,295.888004006495,299.29949126001014,296.78833420846877,297.3150748783144,275.8568859922126,281.2832761781419,296.5308725877958,282.9839433153921,288.4385323333309,288.5152335433422
2089,299.7621819390663,273.91158022966664,294.9875935388972,298.7888426848561,296.9021766166416,296.290430766019,275.73865770373675,281.3300999084566,295.9361010638824,283.4520872610734,288.202591637823,288.2983058110093
2090,299.3770034418175,273.81826115532414,295.0870601334987,298.60586581083555,296.852752957883,295.98172252162414,275.38715424497065,281.34373138548426,296.5071852291714,283.9051554261758,288.07606261071265,288.19428477944945
2091,299.2379744874902,273.435218136031,295.604946258215,298.9804738188657,296.7080814592991,296.3094066643757,275.54884571331166,281.1910245525948,296.23471952236315,283.66239347995537,288.16095796820986,288.2963192469362
2092,299.73071811171474,274.2515135879292,295.67933950753485,299.169325080503,296.88655263910596,296.45524248809085,275.49702029545995,281.34650381019406,296.6534792306471,283.5866791033286,288.40543729227204,288.4611121488735
2093,299.8154202947167,273.61180684443286,295.8034597361309,299.09607860004064,296.977609711266,296.68246083565043,275.2194719379957,281.26020815017176,296.1462713984514,283.26521535982704,288.2497535215967,288.39687306287146
2094,299.5854663887844,273.89701873623346,295.0626886682123,299.06384478043174,297.0581581408038,296.30051696371027,275.5296714555627,281.16694371142574,296.50882155976296,283.5375145289759,288.24593515400943,288.323570297737
2095,299.7413468785149,274.2033577938509,295.5257131056969,298.86361865044785,296.7153037216861,296.4177088833413,275.4905589208586,281.8427037835296,296.5176130527528,284.00225470712866,288.36117402451805,288.38383804499426
2096,299.7175405385689,274.03583172181334,295.3759589224311,298.86940348348554,296.6794073358955,296.63688354167664,275.1607280568926,281.4103017392908,296.12785113097885,283.4120059498293,288.2283939061739,288.3137498531052
2097,299.47379244536387,274.0250859137005,295.2437204001443,298.70715277619365,296.5658396321407,296.1486118404289,275.2768337713878,281.42269264168294,296.60665116910235,284.48345150371597,288.1783099767235,288.32413857878987
2098,299.579871728303,272.71818130423145,295.60402139056873,298.9269956841947,296.26885310254977,296.3831926383203,275.05490342722067,281.175366935588,295.95445893646456,283.22643364253344,287.93021272611384,288.31143000651963
2099,299.6545294275408,273.0503215665112,295.3972553095157,298.64085203015895,296.24595007377684,296.31046697098225,275.3912494502009,281.01624032919284,296.4169783746874,284.05054001244264,287.9915363918853,288.250776391275
2100,299.4759090025076,272.92102814446173,294.8036507397321,298.54923798544615,296.4918667766439,296.3683651227885,274.94334646040954,281.00233874894366,296.3401985960565,283.16703421925234,287.8112547193127,288.173212111254
2101,299.94092606052664,274.05458247591355,295.4271703021298,299.31082422862914,296.57852262471005,297.20157552277544,275.9978221918471,281.3347325050112,296.7531384474961,283.4055251991498,288.5733093652743,288.5519544489617
2102,300.2103890068842,273.65679633499377,295.62918596044386,299.7464986187925,297.1630931134385,297.23531745527816,276.36672210249736,282.1797525276178,297.31773081874746,283.989270271333,288.83178487522696,288.59474111115514
2103,299.40637621015213,272.7174884489709,294.779849001417,298.42214830315413,296.81443233738736,295.86810978043536,275.76403366726026,281.12890697630735,296.4696441212063,283.72391156879695,287.85121282290294,288.0157080976978
2104,299.0214892804225,273.58137284688434,294.14862560525495,298.1741776352306,296.6836285423032,295.36009729081195,275.19606417415434,281.2634729336322,296.30477382519126,283.15364059584954,287.6905469022357,287.9225955321026
2105,299.1726623025896,272.58174292839453,294.05817493200504,298.268782637047,296.78409322851576,295.7620794092833,274.727314087445,281.05323907617634,296.2079122084028,283.39817722055216,287.5295025146861,287.95308689324
2106,299.6131608606052,273.32132804421195,295.04192760057106,298.57180555553157,296.09527961903734,296.45373296119544,275.0424349411515,281.3704265481993,296.1616887596762,283.8234409448708,287.967539910758,288.20297009889276
2107,299.9935340802691,273.31172332599874,295.46409891108914,299.5709857954736,296.77709093854173,297.32175075559843,276.191343554967,281.77792002919296,297.2905558339251,283.0465705766832,288.612854639103,288.51860746684486
2108,299.8712562062728,273.26751470281835,295.0114093210819,299.4675718934456,297.1664414121005,296.7430212718991,275.9261075084166,281.7372583415831,297.25555296543763,283.36454991075334,288.4436692346351,288.3970877949506
2109,299.2151600689304,272.7022736780246,295.2014467690696,298.26216943496684,296.5002375224689,295.4289638263156,275.5929712457421,281.12520785595103,295.4877915626849,283.69772107321745,287.687518490146,287.98083188587304
2110,299.0536841199918,273.0053740806869,294.61641788324994,298.22787017343506,296.2440875339843,295.66858399170496,275.11435391587344,281.498105287703,296.36339417732006,283.41810644539294,287.6896215770702,288.01397459999475
2111,299.40899035907665,272.75319896144805,294.8041604267519,298.68208978013837,296.3019790158078,296.0918496730664,275.1461620092653,280.9353170958164,295.83612691647903,283.11247170534034,287.7668032331172,288.12493978716475
2112,299.8400166437264,273.5728766429345,295.20890634939065,299.03337009929686,296.7974062589597,296.6701953075035,276.12915678797833,280.90993781134966,296.73262162183283,283.44074301586653,288.3288556963751,288.3645901256416
2113,300.0453615566401,272.43439445568595,295.4930527980069,299.13954777054573,297.2220218291426,296.68831410145407,275.55788947485854,281.1083355409152,297.16755729545,283.73218130675093,288.1668734399079,288.34612327701444
2114,299.9633472546094,273.60117591832136,295.7146239425447,299.1741463483237,296.76395889508143,296.72608393052184,275.93924292950135,280.95417071645767,296.80205141155676,283.7560263591896,288.39826760319664,288.40512550077534
2115,299.7322252943891,273.84109075323414,295.34907570022096,298.834057638552,296.8138153576781,296.18743768084084,275.2754239865849,281.4389705157247,296.34148174887036,283.69423794413495,288.16507426775075,288.2290093575201
2116,299.09916127156725,273.51177737808376,295.1233609488104,298.5292551033825,296.7152765749446,295.48730024322896,274.77306045803243,280.9486899581482,296.2004513010813,283.4760675070335,287.7597715678967,287.9972662415628
