YEARS,SEAP,EEWA,AJNZ,AFRC,MDEA,LAMC,NAMC,EAAS,SOAS,EURO,WORLD,TAS
2006,298.7194193745053,272.03309342558754,295.7752722477238,297.63449902016794,295.07134112965326,295.8669540177759,274.03199394595117,280.374090043091,295.3075234034067,282.53327599948045,287.1000285023586,287.62080521814914
2007,299.3860576267777,272.1790433240169,294.6648894277786,298.55821656536955,295.6311842446711,295.9426821414188,274.1605904254603,279.72182170422013,296.04593636560384,281.80428300242056,287.2810243249454,287.73987367176767
2008,298.49794021596784,271.2411359606499,293.17129373963246,297.6057648340357,295.93836859526095,295.17831186284354,274.29456350779384,279.77793182469605,295.83267955873055,282.1380371674158,286.7168827639597,287.3642014108484
2009,298.60359194504287,271.19017360570183,293.8752503496804,297.8206210311691,295.579579679067,295.2334878789104,273.8141123282659,280.114418167909,295.3984430766063,281.858301314988,286.7225067920942,287.41502473559547
2010,299.2327334745584,272.75958814632884,294.7497078868355,297.9265552212053,294.74152675097076,296.12808415358955,273.7438718783783,280.0419774613047,295.32074602137874,283.02098693736457,287.2146417570765,287.72725420356517
2011,299.17923693091853,271.7389105792396,296.4972313861248,298.2365600550572,295.60582112644937,295.44065687528047,274.1683807176845,279.6838203969238,295.6331776485827,282.18595786910174,287.16528572679783,287.628118922751
2012,298.54074448266203,272.21750903232083,293.9155685531065,297.50645615833406,296.2386103748047,295.29817670128864,274.2616434805711,280.0079425668455,295.3423245716879,282.43174088531896,286.93985845020455,287.4783046477644
2013,299.00343688633075,272.37226906565644,294.814098077274,298.06887001513434,296.33071675859344,295.73880381868895,273.7747007756804,280.42411441250476,296.3368747654874,282.09305107565325,287.2150370739633,287.64802683464177
2014,298.9277258724522,272.63307250500736,295.28879784203,297.7388152391998,295.3142646295804,296.1110274128244,273.42115019944816,279.9967870335742,295.7692724722818,282.46493675624276,287.131441762678,287.6922125751392
2015,299.6836111711678,271.91817450635165,296.1832559857531,298.72416113092964,295.99240115341246,296.74332178668436,274.8455069683376,280.01593911706436,296.34478375640526,283.08510048074015,287.71740211475355,288.00562159692225
2016,298.7802937840142,272.4193947377542,294.2404306800297,297.9580375912936,295.5319609658076,295.5800997281165,274.1330312867498,280.5172476134624,296.1204339288443,282.455438923854,287.171084994143,287.6395152397304
2017,299.15688046934076,272.02804125072026,295.3475764069833,298.6688352392743,295.8966772347654,295.93647678438566,274.6349227356379,280.45660437305753,296.35136949274147,282.39241412421353,287.49789926867487,287.8453489746015
2018,299.2037748320372,272.3453811145992,295.9056118074744,298.53056970505264,296.9046251069114,295.6246088466143,273.69808970399987,280.2324100059428,296.5262867239368,282.15270737722517,287.37553158052344,287.7143796449214
2019,298.56799243414474,272.3550958131216,293.9933011293888,297.9261202625181,296.3467423728745,295.1217534281455,274.3931886953393,280.3757657994781,294.8046194335073,282.3344914163129,287.06624864483143,287.55460350348
2020,298.9709582251771,271.43870578977635,295.56575844095727,298.28621661759547,296.2176727968665,295.4723067595536,273.16047894315926,280.14990161375306,296.1903936853544,282.29052007011165,286.9951736176191,287.6969846639899
2021,299.6933774075786,272.25657259154633,295.66629193207535,298.68486978083286,296.2710218490803,296.3802466815943,274.04350471910357,279.7083907140895,295.9520537924948,282.8853342811203,287.5112243704268,287.97011222692623
2022,299.4968681625027,272.05245946095954,295.9742035617555,298.8745829393223,296.4409255159214,296.28721880691745,274.40005807455344,280.44492770016944,296.18852642124534,283.3374253378666,287.6710811749194,288.0421006045266
2023,298.80088577418064,274.08644358709313,294.4191356404211,297.9690418671412,296.28552495990425,295.5008169852468,274.71584898633733,280.3976135437841,295.8121506595758,283.25668319265964,287.5794925305257,287.85917178555883
2024,298.6849250704222,273.1047105314776,295.20694535528594,297.8409710181856,296.2537785879957,295.82027677869996,274.9236813524162,279.9312180792839,296.2083134424415,282.138918979733,287.44322190610336,287.81498920842375
2025,299.56265199032015,273.77125352988475,296.29098932986363,298.3857822218039,296.4628839802853,296.59232301254843,274.85991387135476,280.39495973656324,296.1566079090132,282.70525109369026,287.95105962674603,288.143891469399
2026,299.9605003247185,273.50419647642656,294.98482499014506,298.80451541679906,296.46203325295994,296.1189730985374,274.3008318650031,280.5220330560416,296.64808277279616,283.10947105265006,287.8207151731524,288.0740033122695
2027,298.9366054524697,273.306020516738,293.87637770389205,298.1777777172566,296.38407017731964,295.398321730571,274.6748735042331,280.6018456577419,295.51044952086386,282.85210955982484,287.44005336292196,287.75894748632254
2028,299.12137579509215,272.9339364047103,294.9986971025986,298.3750174900187,296.7197669539438,295.9145214797942,274.5344475913024,280.5321800873678,295.85255347783936,282.52487861807936,287.5625392617223,287.9089161119223
2029,299.52459953724997,273.0648765674658,295.58145917749226,298.51427264943004,295.89437542346775,296.3473560799678,274.57388704312274,280.451651517015,296.31662503491066,282.9408418971941,287.7356692384729,288.0254763940778
