YEARS,SEAP,EEWA,AJNZ,AFRC,MDEA,LAMC,NAMC,EAAS,SOAS,EURO,WORLD,TAS
2006,298.6592926234209,271.9018171510737,294.45198658850313,297.82158710928803,295.45227220267736,295.63089128890897,273.896120954431,280.2687082604737,295.68768038040355,282.8716842898032,287.01333408997607,287.6084135816587
2007,299.0517610773783,272.6122614580058,294.8811504713685,298.0834568812995,296.0654489478565,295.3920606394113,274.223276234302,279.7389527210155,295.69216929091573,282.3218072026113,287.199741301976,287.737106149172
2008,299.075658646969,272.5660012243999,295.1867999947267,298.08111046154727,295.90019198809904,295.5527123319558,274.97674878732994,280.2485679534417,296.33561825079875,282.6067002410834,287.42807030284973,287.82100184003747
2009,298.7732999841588,273.1335022722142,294.42250565548693,298.10891639273586,295.59187744943546,295.6835809281231,274.62912461621784,280.2316512945189,295.3385596258415,283.66147436513813,287.42826461339894,287.8589755434622
2010,299.0624547926903,273.67717024329505,294.62965740115226,298.58258802929373,296.1565647597331,295.85961937289414,274.37328923226283,280.48454915628673,296.07606746263286,283.284073437266,287.68686644244497,288.0150786327611
2011,299.174212537394,273.76993826516167,295.2274202170997,298.3843705333614,296.44990912270265,295.9861844880623,275.097376919856,280.814544647951,295.6751429338127,283.2174394261229,287.85372467074757,288.0861932176096
2012,298.86956045956555,273.1356840217536,294.1754949732359,298.13929037430904,296.0709606277638,295.54351307798163,274.0721948316297,280.2422837750569,295.6892921176105,282.97872179292517,287.31683696628204,287.850361553638
2013,298.8989281944366,273.0730447225693,294.60588104431844,297.8458101192207,296.2054807363774,295.37194219443285,275.009012639396,280.27360341109403,295.42240320820656,282.8367901013053,287.38242631303973,287.81545211001537
2014,298.89636497088884,273.61876465588705,294.9390076401201,298.2136061640168,296.13275612292057,295.75765161149786,274.6225600143579,279.6458009257702,295.5327251524468,283.9018366231147,287.56743171787724,288.0207049062793
2015,299.11284596586546,272.80442062385373,295.5919339430725,298.73221180112154,297.49042745814626,296.3461558302859,275.13210742122476,280.5217537456181,296.5703164796934,283.3483291940871,287.91010963394746,288.15712895961303
2016,299.2678002783314,273.3824249179646,295.09457468282795,298.31562068463353,296.70247733512747,295.9565486705806,274.47281382107343,280.1695762137176,295.91274573760626,282.9955757759389,287.6222762474399,288.1452627583271
2017,299.28846738081626,271.9989505074416,295.20487313713295,298.50837494189193,296.23747785311946,296.0253114661282,275.25960511166625,279.77320976818663,296.73377406577663,283.08899340828776,287.56656358567784,288.0834857532215
2018,299.03171000500004,274.0156023699984,294.9406526519587,298.5466663227863,296.40577684409277,295.9820160070371,275.2388869577681,281.08917900199634,296.1519380037786,283.94318483499035,287.9994636444208,288.202714258479
2019,299.37045096341996,273.8425203324036,295.0733359589712,298.6455238326608,296.6206942309627,295.9219286915779,274.9172644131725,281.57495429842163,295.7959040372477,283.22458117717844,287.95824062788944,288.1711580336965
2020,299.2794229974426,275.0344161871329,295.0296417333842,298.54910453678866,296.3983917583976,295.9324850041932,275.1760085993255,280.81403019811484,296.0792972774705,284.3816155154651,288.1563582879236,288.3314197964171
2021,299.4358381162441,274.0673079679266,295.2718315189601,298.697378719206,296.83780773654246,296.0396028219972,275.1863984324301,281.54919279489053,295.86315767823675,284.22664190512114,288.1342805467161,288.4031783662888
2022,299.33969954470643,273.72454351114715,295.8120433983193,298.85934106879625,296.91288360006934,296.1225125600885,275.5249213905598,280.7424197024689,296.1398251969554,283.79565015195516,288.13804392184574,288.401599145211
2023,299.70070902847215,273.7823949568424,295.8383082190982,298.95987634855493,296.88586755497806,296.65528354260096,275.2613482194756,280.5254776819218,296.5866522985338,283.6098602550375,288.2141996934741,288.4459290143394
2024,299.7624837564662,274.79154730332885,295.312834579439,298.9172669241343,296.5560573629693,296.3202756532283,275.5020374869312,280.57753975490056,296.0135259588286,284.34068835868743,288.327589491551,288.46564964292105
2025,299.52987168668284,274.521527429951,295.7693315820219,298.7966207861376,296.94370941763873,296.0910000107341,275.13008304642716,280.5298507228486,296.4126999263813,284.18829323910126,288.2018185372645,288.386343866756
2026,299.6812317186939,274.34779969579307,294.9458820915643,298.9573347297829,297.34387279295885,296.3249467623716,275.5486917985769,280.70665379086694,296.3575309887912,284.0505377434628,288.2878949342551,288.4881515416721
2027,299.7255755554497,273.9758216624446,294.9425568614752,299.302743467285,297.4630022837993,296.30092247535913,276.41548273220695,280.80057379119427,296.4132514939271,283.51241766809267,288.43045051916624,288.5656144630941
2028,299.52516268180415,273.62765362328247,295.7660151668936,298.7268225211641,296.5698265939086,296.0445412828946,275.55012911918044,280.46172754023934,296.52448245033145,283.94734993478187,288.07317490634654,288.42230103969536
2029,299.2977736935892,273.42364890938524,295.42975286997444,298.49760517455206,296.6108377753599,296.0320962630401,275.7421574931192,280.33007524397595,295.9745331553027,283.9483214379043,287.9577721015731,288.34395666171196
2030,299.4952749775904,273.7663063350215,294.861706353894,298.8807148311447,296.99357552179356,296.5998058860692,275.4747584139966,280.4758247979694,295.7324614807511,283.5221149417229,288.1148653184482,288.4848276279026
2031,299.5355307741236,273.3087394171321,295.6485702879249,299.09935140385903,296.8812709653526,296.5031418965847,275.3030941081482,281.1234032733885,296.65535304330035,283.9920823066583,288.20266436338846,288.4703784912788
2032,299.753968238258,274.3492396893427,295.4146330436199,299.2566679192254,297.1057988622017,296.5443792593378,275.574321871639,281.41975700888014,296.8731902229448,284.2788993321306,288.504172809737,288.636192379969
2033,300.1668033366266,274.95156556319705,295.6550532625501,299.4950569603824,297.9505422309299,296.7906749399299,276.37384663398154,281.7284050783744,296.8915779346674,284.09117275331477,288.90076731744716,288.78619252359465
2034,300.1432272451278,274.3414142452144,296.2444959396142,299.441637526867,297.3941990199461,296.87322292014926,275.9676943064636,281.3062683994901,296.60513300772345,284.7815294452866,288.73633284589664,288.83303888852186
2035,299.9986334745852,274.11698047645507,296.31523204907455,299.33722609487813,297.25778102307515,297.19857885613743,276.76138710250706,281.2375624764492,297.18495235535465,283.6958034675641,288.8140454229159,288.9245023887291
2036,300.20198313928904,273.69576046803303,296.1293196898785,299.9371825956194,297.840832901065,297.05918059181175,276.988727098912,281.4709182127294,297.01743694704464,283.7850617997794,288.9298243682925,289.02335709049026
2037,300.09450198794866,274.9383848148243,296.143933717738,299.40404312935374,297.8151101753712,296.72549942362946,276.5377958704206,281.48968531069806,296.9128146193573,284.2076998825229,288.902717971812,288.92752517398964
